available cuda: 2
load model from checkpoint, threshold: [0.5, 1.5, 2.5, 3.5, 4.5], valid score: 0.843
loading data: May24_18-53-18
data loaded: May24_18-56-32
mean: [0.81036124 0.61035397 0.74000449]
std: [0.16581212 0.26087577 0.17437672]
training started: May24_18-56-32
epoch:70, train:0.323, valid:0.290, threshold: [0.64093551 1.63660836 2.18931418 2.84670731 3.67404614]score:0.867, best:0.868, date:May25_04-49-54
epoch:71, train:0.320, valid:0.311, threshold: [0.56342798 1.50772423 2.56380198 2.04104597 4.69606135]score:0.852, best:0.868, date:May25_04-58-15
epoch:72, train:0.317, valid:0.285, threshold: [0.6169158  1.61312311 2.72244553 2.22562155 3.86008607]score:0.865, best:0.868, date:May25_05-06-36
epoch:73, train:0.315, valid:0.299, threshold: [0.64199608 1.51466737 2.54964364 2.1492161  4.71370693]score:0.853, best:0.868, date:May25_05-14-57
epoch:74, train:0.305, valid:0.280, threshold: [0.55719418 1.67213702 2.51319978 3.10563546 3.70872101]score:0.865, best:0.868, date:May25_05-23-19
epoch:75, train:0.346, valid:0.289, threshold: [0.62872568 1.63544498 2.33574532 2.8367752  3.75728817]score:0.865, best:0.868, date:May25_05-31-41
epoch:76, train:0.343, valid:0.291, threshold: [0.66059266 1.56234455 2.2579149  2.82530699 3.87406564]score:0.865, best:0.868, date:May25_05-40-02
epoch:77, train:0.331, valid:0.291, threshold: [0.58078645 1.7096857  2.39441329 2.98303171 4.11276962]score:0.863, best:0.868, date:May25_05-48-24
epoch:78, train:0.333, valid:0.279, threshold: [0.58353149 1.54836861 2.75844781 2.31585274 3.94717596]score:0.867, best:0.868, date:May25_05-56-46
epoch:79, train:0.341, valid:0.289, threshold: [0.62435333 1.47216534 3.1609737  2.19649732 3.57730865]score:0.863, best:0.868, date:May25_06-05-08
epoch:80, train:0.347, valid:0.309, threshold: [0.59838313 1.43600008 2.58354536 2.00160456 4.82332232]score:0.848, best:0.868, date:May25_06-13-30
epoch:81, train:0.341, valid:0.283, threshold: [0.55236679 1.66048854 2.44283453 2.96262411 4.06264687]score:0.863, best:0.868, date:May25_06-21-51
epoch:82, train:0.350, valid:0.296, threshold: [0.677271   1.66307272 2.40594865 2.86820747 3.913466  ]score:0.864, best:0.868, date:May25_06-30-13
epoch:83, train:0.333, valid:0.294, threshold: [0.63875541 1.57075299 2.37798024 2.75221753 3.74342351]score:0.861, best:0.868, date:May25_06-38-34
epoch:84, train:0.337, valid:0.293, threshold: [0.66374929 1.56350314 2.53359283 2.89936423 3.59296936]score:0.866, best:0.868, date:May25_06-46-56
epoch:85, train:0.342, valid:0.303, threshold: [0.64993921 1.33215311 2.81085467 2.06208588 3.47194501]score:0.867, best:0.868, date:May25_06-55-18
epoch:86, train:0.322, valid:0.287, threshold: [0.64923203 1.68426447 2.26441494 2.87733037 3.752111  ]score:0.866, best:0.868, date:May25_07-03-40
epoch:87, train:0.343, valid:0.279, threshold: [0.59108483 1.68661411 2.73448422 2.27108808 3.75562877]score:0.866, best:0.868, date:May25_07-12-01
epoch:88, train:0.328, valid:0.301, threshold: [0.63245931 1.67328642 2.61833983 2.15834892 3.57003011]score:0.864, best:0.868, date:May25_07-20-23
epoch:89, train:0.338, valid:0.292, threshold: [0.63716366 1.6449699  2.08348703 2.93508581 4.06459015]score:0.863, best:0.868, date:May25_07-28-44
epoch:90, train:0.335, valid:0.294, threshold: [0.66290695 1.47679877 2.13510466 2.73282944 3.71171317]score:0.869, best:0.869, date:May25_07-37-06
epoch:91, train:0.329, valid:0.290, threshold: [0.6921086  1.43305746 2.74618717 2.22005238 3.7637389 ]score:0.868, best:0.869, date:May25_07-45-27
epoch:92, train:0.352, valid:0.283, threshold: [0.56562944 1.57438074 2.56938018 3.05102121 4.05126955]score:0.861, best:0.869, date:May25_07-53-47
epoch:93, train:0.337, valid:0.283, threshold: [0.57707763 1.67045392 2.32938137 2.88084432 3.74620743]score:0.863, best:0.869, date:May25_08-02-08
epoch:94, train:0.331, valid:0.303, threshold: [0.62437095 1.48011837 2.73505745 2.13189056 3.55167534]score:0.868, best:0.869, date:May25_08-10-28
epoch:95, train:0.338, valid:0.287, threshold: [0.64460695 1.63548884 2.59672515 2.12042362 3.73202409]score:0.863, best:0.869, date:May25_08-18-48
epoch:96, train:0.325, valid:0.317, threshold: [0.57332873 1.95772297 2.69103018 1.30031008 3.53744363]score:0.864, best:0.869, date:May25_08-27-09
